,Location,Price,Number_of_bedrooms,Living_area,Furnished,Open_fireplace,Terrace,Garden,Surface_area_land,Pool,Condition,Price_per_sq
0,Verviers,296607.0,3.0,130.0,False,False,True,True,239.0,False,AS_NEW,2281.5923076923077
6,Other,415000.0,3.0,207.0,False,False,True,True,534.0,False,AS_NEW,2004.8309178743962
7,Other,405000.0,3.0,207.0,False,False,True,True,382.0,False,AS_NEW,1956.5217391304348
8,Other,415000.0,3.0,207.0,False,False,True,True,532.0,False,AS_NEW,2004.8309178743962
11,Other,415000.0,3.0,207.0,False,False,True,True,532.0,False,AS_NEW,2004.8309178743962
13,Harelbeke,245000.0,3.0,161.0,False,False,False,False,353.0,False,GOOD,1521.7391304347825
14,Zele,420000.0,3.0,196.0,False,False,False,False,350.0,False,AS_NEW,2142.8571428571427
16,Other,90000.0,3.0,158.0,False,False,False,False,240.0,False,TO_RENOVATE,569.620253164557
18,Other,160000.0,3.0,150.0,False,False,True,True,118.0,False,TO_RENOVATE,1066.6666666666667
22,Stekene,419000.0,5.0,221.0,False,False,True,True,825.0,False,GOOD,1895.9276018099547
23,Other,525000.0,4.0,238.0,False,False,True,False,475.0,False,GOOD,2205.8823529411766
24,Tournai,199000.0,3.0,105.0,False,False,False,False,110.0,False,Unknown,1895.2380952380952
29,Brugge,439000.0,4.0,189.0,False,False,True,True,160.0,False,AS_NEW,2322.7513227513227
30,Other,415000.0,3.0,207.0,False,False,True,True,569.0,False,AS_NEW,2004.8309178743962
31,Other,405000.0,3.0,207.0,False,False,True,True,382.0,False,AS_NEW,1956.5217391304348
35,Deurne,325000.0,3.0,113.0,False,False,True,True,102.0,False,JUST_RENOVATED,2876.1061946902655
37,Liège,299000.0,4.0,176.0,False,False,True,True,160.0,False,JUST_RENOVATED,1698.8636363636363
38,Other,332000.0,3.0,235.0,False,False,True,False,675.0,False,GOOD,1412.7659574468084
43,Hasselt,268000.0,4.0,197.0,False,False,False,True,195.0,False,TO_BE_DONE_UP,1360.4060913705584
55,Merksem,399000.0,3.0,210.0,False,False,True,False,0.0,False,GOOD,1900.0
58,Gent,319000.0,2.0,127.0,False,False,False,True,112.0,False,TO_BE_DONE_UP,2511.8110236220473
60,Merksem,419000.0,4.0,185.0,False,False,False,True,206.0,False,JUST_RENOVATED,2264.864864864865
65,Other,295000.0,3.0,180.0,False,False,False,False,800.0,False,TO_BE_DONE_UP,1638.888888888889
67,Boom,314000.0,3.0,170.0,False,False,True,True,310.0,False,AS_NEW,1847.0588235294117
69,Other,339000.0,3.0,149.0,False,False,True,True,207.0,False,GOOD,2275.1677852348994
70,Other,389000.0,4.0,175.0,False,False,False,False,117.0,False,AS_NEW,2222.8571428571427
71,Wevelgem,315000.0,3.0,219.0,False,False,False,False,355.0,False,GOOD,1438.3561643835617
77,Other,215000.0,2.0,105.0,False,False,False,True,660.0,False,TO_BE_DONE_UP,2047.6190476190477
80,Oostende,279000.0,3.0,125.0,False,False,False,True,323.0,False,GOOD,2232.0
92,Other,395000.0,2.0,143.0,False,False,False,False,0.0,False,GOOD,2762.237762237762
100,Other,325000.0,2.0,115.0,False,False,True,True,151.0,False,AS_NEW,2826.086956521739
101,Other,295000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD,1843.75
102,Other,289000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD,1806.25
104,Other,292000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD,1825.0
107,Other,146000.0,2.0,93.0,False,False,False,False,572.0,False,TO_RENOVATE,1569.8924731182797
